x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
95.7,43.0,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,8.215229759416347,True,False,False,True,False,False
90.5,42.5,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,12.103718436910205,True,False,False,True,False,False
81.2,52.6,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,18.978935691971767,True,False,False,True,False,False
74.1,47.2,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,26.05091169229976,True,False,False,True,False,False
89.2,46.8,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,11.264102272262978,True,False,False,True,False,False
95.6,50.2,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,4.404543109109054,False,True,False,True,False,False
96.7,49.1,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,3.420526275297411,False,True,False,True,False,False
92.7,60.3,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,12.624579200908041,False,True,False,True,False,False
90.3,50.1,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,9.700515450222223,False,True,False,True,False,False
72.5,47.4,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,27.62263564542674,False,True,False,True,False,False
91.1,58.7,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,12.445882853377665,False,True,False,True,False,False
82.7,71.6,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27.673995013369495,True,False,False,True,False,False
88.1,40.3,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,15.35252422242024,True,False,False,True,False,False
90.9,36.8,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.03277892319357,True,False,False,True,False,False
92.0,51.7,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,8.178630692236936,True,False,False,True,False,False
84.9,35.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,21.284031572989168,True,False,False,True,False,False
80.6,39.1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,22.2524155992108,True,False,False,True,False,False
90.3,47.5,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,10.016985574512926,True,False,False,True,False,False
97.1,49.7,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,2.9154759474226553,True,False,False,True,False,False
88.4,73.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25.75965838282798,True,False,False,True,False,False
77.6,55.1,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,22.97324530840169,True,False,False,True,False,False
81.9,46.6,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18.416568627190024,True,False,False,True,False,False
91.2,30.3,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,21.576144233852347,False,True,False,True,False,False
89.2,52.3,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,11.042191811411353,False,True,False,True,False,False
80.7,49.0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,19.325889371514055,False,True,False,True,False,False
91.2,53.8,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,9.585405573057404,False,True,False,True,False,False
95.5,49.9,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,4.50111097397076,False,True,False,True,False,False
81.2,66.9,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,25.27943828489866,False,True,False,True,False,False
86.4,41.9,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,15.829403020960704,True,False,False,True,False,False
79.2,48.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20.88659857420542,True,False,False,True,False,False
92.0,52.1,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,8.271033792700887,False,True,False,True,False,False
95.2,60.3,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,11.363538181394029,False,True,False,True,False,False
88.0,38.7,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.483021567661677,False,True,False,True,False,False
77.1,44.6,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23.52806834400139,False,True,False,True,False,False
72.9,50.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.11494053100614,False,True,False,True,False,False
71.2,56.4,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29.502542263337237,False,True,False,True,False,False
87.4,63.6,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18.53968716025165,False,True,False,True,False,False
86.9,29.2,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.581497106563706,False,True,False,True,False,False
79.6,68.8,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.741665415039524,True,False,False,True,False,False
90.7,51.5,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,9.420191080864546,False,True,False,True,False,False
92.0,35.0,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,17.0,False,True,False,True,False,False
90.8,41.0,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,12.870120434556936,False,True,False,True,False,False
75.4,52.3,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.70728637467093,True,False,False,True,False,False
81.6,50.1,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,18.40027173712389,True,False,False,True,False,False
74.0,64.2,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,29.624989451474917,True,False,False,True,False,False
84.9,68.9,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,24.191320757660176,True,False,False,True,False,False
78.1,42.1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,23.28132298646278,True,False,False,True,False,False
89.9,54.2,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,10.93846424321074,True,False,False,True,False,False
88.2,31.9,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,21.60671192014185,False,True,False,True,False,False
87.4,43.2,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,14.317821063276346,False,True,False,True,False,False
79.3,40.5,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,22.77586441828279,False,True,False,True,False,False
91.8,42.3,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,11.248555462813885,False,True,False,True,False,False
86.4,79.5,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,32.48399605959833,True,False,False,False,True,False
95.8,28.2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,22.20090088262186,True,False,False,True,False,False
